"Country";"value_2010";"value_2011";"value_2012";"value_2013";"value_2014";"value_2015";"value_2016";"value_2017";"value_2018";"value_2019";"value_2020";"value_2021"
"Turkmenistan";0.97861;0.97847;0.97836;0.97826;0.97814;0.97804;0.97796;0.97785;0.97776;0.97768;0.9776;0.9775
"Turks and Caicos Islands";0.85942;0.85849;0.8573;0.85661;0.85469;0.85343;0.85206;0.85087;0.8497;0.84829;0.84734;0.84611
"Tuvalu";0.86653;0.86231;0.85905;0.85465;0.8514;0.84846;0.8448;0.84053;0.83715;0.8332;0.82885;0.8266
"Tuvalu";0.86653;0.86231;0.85905;0.85465;0.8514;0.84846;0.8448;0.84053;0.83715;0.8332;0.82885;0.8266
"Uganda";0.7817;0.77838;0.77515;0.77201;0.76962;0.76674;0.7642;0.76099;0.75812;0.75512;0.75171;0.74935
"Ukraine";0.93397;0.93425;0.93447;0.93468;0.9349;0.93519;0.93528;0.93553;0.93564;0.93581;0.93597;0.9362
"United Arab Emirates";0.87942;0.87655;0.8747;0.87146;0.86854;0.86556;0.86211;0.85955;0.85689;0.85409;0.85237;0.8493
"United Kingdom of Great Britain and Northern Ireland";0.96355;0.96344;0.96315;0.96274;0.96241;0.96202;0.96189;0.96171;0.96168;0.96166;0.96174;0.96172
"United Republic of Tanzania";0.73362;0.73004;0.7261;0.72211;0.71895;0.71523;0.71146;0.70739;0.70344;0.6994;0.69639;0.69195
"United States Minor Outlying Islands";0.73774;0.73722;0.73753;0.73717;0.73676;0.73588;0.73498;0.73475;0.73472;0.73443;0.73363;0.73292
"United States Minor Outlying Islands";0.73774;0.73722;0.73753;0.73717;0.73676;0.73588;0.73498;0.73475;0.73472;0.73443;0.73363;0.73292
"United States of America";0.83934;0.8389;0.83823;0.83736;0.83689;0.83627;0.83539;0.8346;0.83389;0.83346;0.83273;0.83182
"United States Virgin Islands";0.83091;0.8307;0.83063;0.83052;0.8303;0.83022;0.83002;0.8299;0.82978;0.8297;0.82954;0.82934
"Uruguay";0.85897;0.85858;0.85788;0.85742;0.85735;0.85671;0.85612;0.85584;0.8556;0.85469;0.85433;0.85412
"Uzbekistan";0.97525;0.97475;0.97428;0.97398;0.97352;0.9733;0.97258;0.97237;0.97196;0.97163;0.97117;0.97087
"Vanuatu";0.70145;0.69813;0.69499;0.69164;0.68882;0.68588;0.68281;0.67916;0.67691;0.67299;0.67058;0.66738
"Vanuatu";0.70145;0.69813;0.69499;0.69164;0.68882;0.68588;0.68281;0.67916;0.67691;0.67299;0.67058;0.66738
"Venezuela (Bolivarian Republic of)";0.83568;0.83457;0.83303;0.83157;0.83053;0.82917;0.82805;0.82703;0.82542;0.82402;0.82251;0.82146
